MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,SEX,BYEAR,BMONTH,AGE,EDU,CUEDU,P21,Q2,Q4,Q6_A,Q47,Q48,Q50,Q51,Q52,employment_status
4,Rural,Mullaitivu,11,9,1,3,Male,2005,3.0,18, Passed G.C.E.(A/L)/ H.N.C.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Mullaitivu,12,4,1,3,Female,2000,3.0,23, Passed G.C.E.(A/L)/ H.N.C.E. ,Vocational / Technical Institution,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Mullaitivu,12,4,1,4,Male,2003,11.0,19,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Mullaitivu,13,2,1,2,Male,2007,3.0,16,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
4,Rural,Mullaitivu,13,6,1,3,Male,2006,10.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Mullaitivu,13,10,1,2,Male,1998,10.0,24,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed
5,Rural,Mullaitivu,15,2,1,2,Female,2000,11.0,22, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
5,Rural,Mullaitivu,15,6,1,3,Female,1996,9.0,26, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Mullaitivu,15,6,1,4,Male,1998,4.0,25,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Mullaitivu,15,6,1,5,Male,2004,10.0,18,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Mullaitivu,15,10,1,2,Male,2000,9.0,22,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Mullaitivu,16,4,1,3,Male,1998,10.0,24,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Mullaitivu,16,4,1,4,Female,2008,4.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
6,Rural,Mullaitivu,17,6,1,4,Female,1996,6.0,27,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
6,Rural,Mullaitivu,17,10,1,2,Male,1998,11.0,24,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,1.0,,,,,,,Employed
6,Rural,Mullaitivu,17,10,1,4,Female,1997,5.0,26, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,Not in Labour Force
6,Rural,Mullaitivu,17,10,1,5,Male,1997,9.0,25,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,1.0,,,,,,,Employed
6,Rural,Mullaitivu,19,2,1,3,Female,1995,3.0,28,No Schooling,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
6,Rural,Mullaitivu,19,2,1,4,Male,1996,9.0,26,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
6,Rural,Mullaitivu,19,2,1,5,Female,2002,12.0,20,Passed Grade 12,University,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
6,Rural,Mullaitivu,19,6,1,3,Female,1993,7.0,29,Passed Grade 12,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
6,Rural,Mullaitivu,20,8,1,2,Female,1995,12.0,27,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
7,Rural,Mullaitivu,21,2,1,2,Female,2006,12.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
7,Rural,Mullaitivu,21,6,1,1,Male,1995,5.0,28,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Mullaitivu,21,6,1,2,Female,2002,11.0,20,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
7,Rural,Mullaitivu,21,10,1,2,Female,1994,5.0,29,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
8,Rural,Mullaitivu,24,5,1,3,Female,2008,3.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
8,Rural,Mullaitivu,25,3,1,2,Male,2006,6.0,17,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
8,Rural,Mullaitivu,25,7,1,3,Female,1995,1.0,28,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
8,Rural,Mullaitivu,25,7,1,4,Female,1997,6.0,26,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,Not in Labour Force
8,Rural,Mullaitivu,26,1,1,3,Female,2001,4.0,22,Passed Grade 12,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
8,Rural,Mullaitivu,26,5,1,3,Male,2003,5.0,20,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
9,Rural,Mullaitivu,27,3,1,2,Female,1995,10.0,27,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
9,Rural,Mullaitivu,28,5,1,1,Male,1995,3.0,28,Studying / Studied Grade 1,Does not attend,Not studying,1.0,,,,,,,,Employed
9,Rural,Mullaitivu,28,5,1,2,Female,1997,12.0,25,Passed Grade 4,Does not attend,Not studying,1.0,,,,,,,,Employed
9,Rural,Mullaitivu,29,6,1,2,Male,1993,10.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
9,Rural,Mullaitivu,30,4,1,2,Female,2006,11.0,16,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
10,Rural,Mullaitivu,31,2,1,2,Female,1996,2.0,27,Degree ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed
10,Rural,Mullaitivu,31,2,1,3,Male,1996,1.0,27,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
10,Rural,Mullaitivu,31,2,1,5,Male,2000,3.0,23,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
10,Rural,Mullaitivu,31,6,1,2,Male,2008,3.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
10,Rural,Mullaitivu,31,10,1,2,Male,2004,12.0,18,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
10,Rural,Mullaitivu,31,10,1,3,Male,2006,12.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
10,Rural,Mullaitivu,32,4,1,1,Male,1994,1.0,29,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
10,Rural,Mullaitivu,32,4,1,2,Female,1998,9.0,25,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
10,Rural,Mullaitivu,33,2,1,1,Male,1994,6.0,29,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
10,Rural,Mullaitivu,33,2,1,2,Female,1995,6.0,28,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
11,Rural,Mullaitivu,34,1,1,2,Male,2002,3.0,21,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
11,Rural,Mullaitivu,34,1,1,3,Female,2004,8.0,19, Passed G.C.E.(A/L)/ H.N.C.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
11,Rural,Mullaitivu,34,9,1,5,Female,1996,5.0,27,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
11,Rural,Mullaitivu,35,4,1,3,Male,2004,7.0,19,Special educational Institutions,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
11,Rural,Mullaitivu,36,10,1,3,Female,1999,5.0,24, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,39,9,1,2,Male,2007,12.0,16,Passed Grade 9,Does not attend,Not studying,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,40,3,1,3,Male,2004,1.0,19,Passed Grade 8,Does not attend,Not studying,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,40,3,1,4,Male,2007,1.0,16,Passed Grade 9,Does not attend,Not studying,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,40,3,1,5,Female,2007,1.0,16,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
12,Rural,Mullaitivu,40,7,1,3,Male,1998,12.0,25,Passed Grade 10,Does not attend,Currently studying/training,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,40,7,1,4,Male,2000,8.0,23,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
